Ejercicio;Brand;Ind;Cantidad Total;Source;Cantidad de países en los que opera ;Qué muestra?;Check;Observaciones;;;;
2014;Inditex;pr;1018995911;Memoria Anual Inditex, 2015;Prendas puestas en el mercado;Producción;;;;;;
2013;Inditex;pr;948745988;Memoria Anual Inditex, 2015;Prendas puestas en el mercado;Producción;;;;;;
2012;Inditex;pr;869167058;Memoria Anual Inditex, 2015;Prendas puestas en el mercado;Producción;;;;;;
2011;Inditex;pr;835524467;Memoria Anual Inditex, 2015;Prendas puestas en el mercado;Producción;;;;;;
2010;Inditex;pr;815600537;Memoria Anual Inditex, 2014;Prendas puestas en el mercado;Producción;;;;;;
2009;Inditex;pr;767756829;Memoria Anual Inditex, 2013;Prendas puestas en el mercado;Producción;;;;;;
2008;Inditex;pr;696961736;Memoria Anual Inditex, 2010;Prendas puestas en el mercado;Producción;;;;;;
2007;Inditex;pr;627295102;Memoria Anual Inditex, 2010;Prendas puestas en el mercado;Producción;;;;;;
2006;Inditex;pr;528610000;Memoria Anual Inditex 2006, Pág. 412.;Prendas puestas en el mercado;Producción;ok;;;;;
2005;Inditex;pr;413540223;Memoria Anual Inditex 2006, Pág. 412.;Prendas puestas en el mercado;Producción;ok;;;;;
2004;Inditex;pr;347596458;Memoria Anual Inditex 2006, Pág. 412.;Prendas puestas en el mercado;Producción;ok;;;;;
2003;Inditex;pr;278976771;Memoria Anual Inditex 2006, Pág. 412.;Prendas puestas en el mercado;Producción;ok;;;;;
2002;Inditex;pr;236201643;Memoria Anual Inditex 2006, Pág. 412.;Prendas puestas en el mercado;Producción;ok;;;;;
2001;Inditex;pr;181935742;Memoria Anual Inditex 2006, Pág. 412.;Prendas puestas en el mercado;Producción;ok;;;;;
2020;Inditex;e;;;Cantidad de Empleados ;Producción;;;;;;
2019;Inditex;e;176611;Memoria Anual Inditex 2019, Pág. 14;Cantidad de Empleados ;Producción;;;;;;
2018;Inditex;e;174386;"Memoria Anual Inditex 2018, ""Pág. 21""";Cantidad de Empleados ;Producción;ok;;;;;
2008;Inditex;mo;73;Memoria Anual Inditex 2008, Pág. 18;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2007;Inditex;mo;68;Informe Anual Inditex 2007, Pág. 43;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2006;Inditex;mo;64;Informe Económico Financiero - Inditex 2006, Pág. 54;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
2005;Inditex;mo;62;Informe Económico Financiero - Inditex 2006, Pág. 54;Mercados/Países con tienda ;Expansión Internacional;;;;;;
2004;Inditex;mo;56;Informe Económico Financiero - Inditex 2006, Pág. 54;Mercados/Países con tienda ;Expansión Internacional;;;;;;
2003;Inditex;mo;48;Informe Anual Inditex, 2003, Pág. 11;Mercados/Países con tienda ;Expansión Internacional;;;;;;
2002;Inditex;mo;44;Memoria Anual Inditex, 2002, Pág. 13;Mercados/Países con tienda ;Expansión Internacional;;;;;;
2001;Inditex;mo;39;Memoria Anual Inditex, 2002, Pág. 13;Mercados/Países con tienda ;Expansión Internacional;ok;;;;;
